source_path,destination_path,sha256,classification,licence,reason,reviewer_date,included_public_repo,status
go/kswitch/audit/emitter.go,go/kswitch/audit/emitter.go,969e9b1cd11cca6335202ca489eeda3f01773915a8050d1f6ff07afa2a7d7e3c,sdk-audit-client-helper,Apache-2.0 candidate subject to company approval,Client-side audit event construction and sender helper.,engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/audit/emitter_test.go,go/kswitch/audit/emitter_test.go,d31b20c3bdbf59b97f08250d73ec78bafaba4203ad5c418439d0b83f6211bea1,sdk-audit-client-helper,Apache-2.0 candidate subject to company approval,Client-side audit event construction and sender helper.,engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/audit/sender.go,go/kswitch/audit/sender.go,5e44f8c0ab9fa3e853acc57d1478c9d5b3690432e93af5e8333c0aeeac2a8ba9,sdk-audit-client-helper,Apache-2.0 candidate subject to company approval,Client-side audit event construction and sender helper.,engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/audit/sender_test.go,go/kswitch/audit/sender_test.go,870e26e52a9325ae4ff936a8674236b1b58f7c3ce6cb958d5eb9a4d7093c29f0,sdk-audit-client-helper,Apache-2.0 candidate subject to company approval,Client-side audit event construction and sender helper.,engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/auth.go,go/kswitch/auth.go,6f985f4b57887017dfcf19c09b167e4e11dcf7f3ffc022ab0f27d133f0c05f31,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/authzen.go,go/kswitch/authzen.go,5a94d96314b8391db8678b5768571522174a0629d1956d79cc0007794f05323d,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/bundle/local_cache.go,go/kswitch/bundle/local_cache.go,53ec9e9d7e10e919c5359871c8519c2bef25c3a331c66e6d5000a22816af027b,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/bundle/local_cache_test.go,go/kswitch/bundle/local_cache_test.go,d2af530becaa9dc3a2da2e1148a565477eb02ea9667a9ef8807b7684ceca7484,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/catalog.go,go/kswitch/catalog.go,ef0b01771f7465670dd565deb3d808c42829ff15a8c0929ea45ae7b594c23d12,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/client.go,go/kswitch/client.go,8b036702105f7eadeb01e7cb596f32c7ef4c788a36782f5450bbfa712fc0fd0f,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/compliance.go,go/kswitch/compliance.go,060c3fcf3edec65d263d0ccc02e5087d0fc27c84caa12cf11614ba27381332cc,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/deny_reason.go,go/kswitch/deny_reason.go,97eb18b3b965b4a7f995cdc6e044003e7a15488c6919fe2f40657237fc5d174a,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/enforcement.go,go/kswitch/enforcement.go,3b1f4a02b8887b8e80d19fb01b13eccff90dfed77237d99f00a98d7535d1cff7,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/ep221_decision_types_test.go,go/kswitch/ep221_decision_types_test.go,d9c6083206ea31205cfb7c3ef8ba787ed87c8731de0501f0316a1ae0f0949660,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/errors.go,go/kswitch/errors.go,4b3a12258f11090f45fc250288e601f113998b29dfbd38c5a5ac91f9957117a0,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/events.go,go/kswitch/events.go,e44b009e27923c2d9dd7484f0327ef29749b44b9f846f292d49cb878cc6fce64,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/governance.go,go/kswitch/governance.go,799997437df983fff8cd443d680ee449b9c90ce0feacdc00a20c7b4d91047337,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/identity.go,go/kswitch/identity.go,517f51868dff3be85ed2492b034e897dc3a69e908f09b0bc139ddc1d8344ca97,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/interceptor.go,go/kswitch/interceptor.go,3ed7e90acd81c4e047ab63df7df4a28bfb94f7933c40a441753dd95b317a64ec,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/killswitch.go,go/kswitch/killswitch.go,25500e4786c8a4cfb7dc3548114522033712b94e365fc1eedd014b2f17a07ef5,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/kscontext/local_cache.go,go/kswitch/kscontext/local_cache.go,d27904a4e385a2f39f16ecca6a97b5f25fe4c2bd9c41fa241e3809d653f38d83,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/kscontext/local_cache_test.go,go/kswitch/kscontext/local_cache_test.go,669ef6bc6416f313958dd98c025e8d216e7e0654c886ffd8a51aeb9174b1b48c,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/localpdp/evaluator.go,go/kswitch/localpdp/evaluator.go,e3436c04c68f3772317a06bcea7e0c1be963514d89da4775a1137a41bc1db1e2,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/localpdp/evaluator_test.go,go/kswitch/localpdp/evaluator_test.go,0f649a26b1e482d8e682218240df84ab991ba9b1bedd916d9008b96a28b0a550,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/localpdp/types.go,go/kswitch/localpdp/types.go,7a68e62bfd95d6ce532b4d43caffcf58b672c0a1acec28bf22cb8f31300425aa,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/no_network_decision_test.go,go/kswitch/no_network_decision_test.go,5ef83bb1c94919ac57372931e03150f2e1e26a2f0d69def04972d48b0bdf047f,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/options.go,go/kswitch/options.go,a2b793e7d4de702a1715b57945338b6a2a73df0995a820534c88fa4ab1549dc6,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/otel_enabled.go,go/kswitch/otel_enabled.go,883f9a30ea125d0527d3026a1dc7129024e99ff316c32b48c8a06a5224453f2d,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/otel_noop.go,go/kswitch/otel_noop.go,9187702c5f1b384abb2a9dde7ac3e78252eb5031920951e8a5ebe9fbccc7dce3,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/path_resolution_test.go,go/kswitch/path_resolution_test.go,fac4022dcbe4af7ce61d895dfd1de942da7b6ee017f800f4f71abc1b52dcd89b,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/policy.go,go/kswitch/policy.go,7cff92d3e38e842ac89341b86006333c05b42c89a72a1e8a46d5147f0988d4cd,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/revocation/cache.go,go/kswitch/revocation/cache.go,7ba3fd2d51cbc4ea9ccdc0c08df2c783fc30f94edb87046b8923e410c7c4057e,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/revocation/cache_test.go,go/kswitch/revocation/cache_test.go,d0742d8d9ff723494e5e5e8f5314354b154e8f757f446b0dcc70619306d13b23,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/revocation/sync.go,go/kswitch/revocation/sync.go,dd349c3f1487144f917b3b6f272b1a536c373969e768c74809e55e629bc4c9d0,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/revocation/sync_test.go,go/kswitch/revocation/sync_test.go,2a8ad484e2ed17ae8e5a0b6ab299053faca0a0307e041ba2d852b3276310ec94,sdk-developer-runtime-helper,Apache-2.0 candidate subject to company approval,"SDK-side helper for local developer evaluation, cache, revocation, or execution-token flows; not the commercial control-plane compiler or managed enforcement service.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
go/kswitch/service.go,go/kswitch/service.go,681e1d6cf4a9f697ed5a2321ab94ff1afa4573ee5fc9cc1bdfd539a21c869a8c,sdk-client-api-surface,Apache-2.0 candidate subject to company approval,"Thin client, model, option, error, framework adapter, or API helper intended for public SDK use.",engineering-review-2026-06-21,true,ENGINEERING_CLASSIFIED
